wijk_name,green_percentage,total_area_ha,green_area_ha,green_features_count,geometry_x,id,gebied_id,gebiedvolgnummer,gebiednummer,gebiedtype,gebiedcode,naam,parent_id,woonplaats_id,bron_id,status_id,datumopvoer,datumafvoer,documentnummer,dd_document,indauthentiek,indinonderzoek,indgeconstateerd,datumingang,datumeinde,datumopvoerplus,datumafvoerplus,dd_documentplus,documentnummerplus,redenopvoer,redenafvoer,broncodeopvoer,broncodeafvoer,tekst,vrijetekst1,vrijetekst2,vrijetekst3,vrijnummer1,vrijnummer2,vrijnummer3,creation,modification,modifiedby,mutatiereden,bagproces,_issues{}_issue_found,_issues{}_location_sample_x,_issues{}_location_sample_y,_issues{}_location_sample_z,geowkt,fme_rejection_code,geometry_y,regio,gm_naam,recs,a_65_oo,a_ste,p_ste,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_opp_ha,a_lan_ha,a_wat_ha,regio_mapped
Daalmeer Zuid-West,11.147551803553176,5.665416813904936e-09,6.315552742172645e-10,33,"POLYGON ((4.764469469455837 52.66452006865178, 4.7650858316992 52.66963848483366, 4.764597412770453 52.6697968274308, 4.759016486542196 52.669830030450434, 4.759041706527325 52.670079468517606, 4.7578307822880985 52.67025460084419, 4.75688519756962 52.669696126820696, 4.756204087970423 52.66802188483487, 4.757356774502152 52.667761891250635, 4.757048035564441 52.667196282073434, 4.756304888576574 52.66666961118233, 4.756004518332924 52.66673245606544, 4.7558903326481685 52.66623236802287, 4.7572522161093165 52.66592621282474, 4.75781901040279 52.666081770869184, 4.75851483243035 52.66505655868592, 4.75972492559229 52.664211580566736, 4.759884710519474 52.66358419026528, 4.759550066458628 52.663371000803785, 4.758205607543725 52.66361171257151, 4.757866238761526 52.664056591060415, 4.75700233983234 52.66419718781641, 4.756417454215142 52.6640042508091, 4.755668797626163 52.66275392236512, 4.756204844351037 52.66243977001394, 4.7582856333747525 52.66219390823236, 4.760538896872654 52.661000884382446, 4.763000064577087 52.66337900818179, 4.764469469455837 52.66452006865178))",GEBIED.0,71.0,1.0,0361000000000071,2.0,71,Daalmeer Zuid-West,7.0,1.0,,1.0,1995-05-15 22:00:00+00:00,,,,P,Nee,Nee,1995-05-15 22:00:00+00:00,,,,,,,,,,,,,,,,,2012-08-23 09:13:02+00:00,,Beheer,100.0,,,,,,,,"POLYGON ((4.76446953 52.66452011, 4.7650859 52.66963853, 4.76459748 52.66979687, 4.75901655 52.66983007, 4.75904177 52.67007951, 4.75783085 52.67025464, 4.75688526 52.66969617, 4.75620415 52.66802193, 4.75735684 52.66776193, 4.7570481 52.66719632, 4.75630495 52.66666965, 4.75600458 52.6667325, 4.7558904 52.66623241, 4.75725228 52.66592625, 4.75781908 52.66608181, 4.7585149 52.6650566, 4.75972499 52.66421162, 4.75988478 52.66358423, 4.75955013 52.66337104, 4.75820567 52.66361175, 4.7578663 52.66405663, 4.7570024 52.66419723, 4.75641752 52.66400429, 4.75566886 52.66275396, 4.75620491 52.66243981, 4.7582857 52.66219395, 4.76053896 52.66100093, 4.76300013 52.66337905, 4.76446953 52.66452011))",Daalmeer-Zuidwest,Alkmaar,Buurt,525.0,15.0,6.0,2300.0,"31,0","26,0","44,3","12,5","29,6","50,9","8,9","5,2","10,1","17,3","20,7",24.7,43.0,41.0,2.0,Daalmeer Zuid-West
Overstad,4.125340865059174,4.819100960614334e-09,1.988043412566823e-10,7,"POLYGON ((4.7462731670312 52.63866544915442, 4.747068861660363 52.63614452569101, 4.7473079069190085 52.63587853065781, 4.749185407208509 52.63378926276505, 4.751532178254725 52.63312983572107, 4.752830699028597 52.63276343944774, 4.753477462481556 52.63355018431906, 4.753423110051445 52.63496992036805, 4.753505771483941 52.63511298437238, 4.7562394836075095 52.637462260690015, 4.758248410921821 52.639496989950125, 4.757778657226346 52.6401599573818, 4.756514354055217 52.640459301551, 4.755780736021979 52.64013433806319, 4.753156070988253 52.63945441485111, 4.749212155984312 52.63892104442664, 4.7462731670312 52.63866544915442))",GEBIED.1,83.0,1.0,0361000000000083,2.0,83,Overstad,8.0,1.0,,1.0,1995-05-15 22:00:00+00:00,,,,P,Nee,Nee,1995-05-15 22:00:00+00:00,,,,,,,,,,,,,,,,,2012-08-23 09:13:02+00:00,,Beheer,100.0,,,,,,,,"POLYGON ((4.74627323 52.63866549, 4.74706893 52.63614457, 4.74730797 52.63587857, 4.74918547 52.6337893, 4.75153224 52.63312988, 4.75283076 52.63276348, 4.75347753 52.63355023, 4.75342317 52.63496996, 4.75350584 52.63511303, 4.75623955 52.6374623, 4.75824848 52.63949703, 4.75777872 52.64016, 4.75651442 52.64045934, 4.7557808 52.64013438, 4.75315614 52.63945446, 4.74921222 52.63892109, 4.74627323 52.63866549))",Overstad,Alkmaar,Buurt,205.0,5.0,5.0,500.0,"44,2","36,9","26,4","30,4","46,5","22,6","27,8","0,0","0,7","1,4","1,8",341.4,36.0,33.0,3.0,Overstad
De Nollen,32.06684350909767,1.1543976061529308e-08,3.7017887383783005e-09,123,"POLYGON ((4.800509467165786 52.660240916380076, 4.773669370907684 52.648354448676294, 4.768931118204729 52.64595797859444, 4.773114231429442 52.642647614444776, 4.774328738306491 52.64211164355861, 4.777920488518212 52.64152569527065, 4.778361914675754 52.64277648882363, 4.7790600403261 52.6434811483244, 4.780209810547672 52.644150320814745, 4.7807970034919 52.64458553781784, 4.78229935016789 52.64653676402282, 4.783145403662857 52.646709459370484, 4.783746507538975 52.647019341684654, 4.788299206613197 52.65336802895411, 4.788995325022257 52.65400140165827, 4.795127910418992 52.65672961889897, 4.794898366222816 52.65698293400564, 4.798746583687373 52.65868470602245, 4.799672344493516 52.65787844266917, 4.8006661020128885 52.65787219758835, 4.800509467165786 52.660240916380076))",GEBIED.2,28.0,1.0,0361000000000028,2.0,28,De Nollen,2.0,2.0,,1.0,2010-06-06 22:00:00+00:00,,,,P,Nee,Nee,2010-06-06 22:00:00+00:00,,,,,,,,,,,,,,,,,2012-08-23 09:13:02+00:00,,Beheer,100.0,,,,,,,,"POLYGON ((4.80050953 52.66024096, 4.77366944 52.64835449, 4.76893118 52.64595802, 4.7731143 52.64264766, 4.7743288 52.64211168, 4.77792055 52.64152574, 4.77836198 52.64277653, 4.77906011 52.64348119, 4.78020988 52.64415036, 4.78079707 52.64458558, 4.78229942 52.6465368, 4.78314547 52.6467095, 4.78374657 52.64701938, 4.78829927 52.65336807, 4.78899539 52.65400144, 4.79512798 52.65672966, 4.79489843 52.65698297, 4.79874665 52.65868475, 4.79967241 52.65787848, 4.80066617 52.65787224, 4.80050953 52.66024096))",De Nollen,Alkmaar,Buurt,150.0,5.0,1.0,1200.0,"47,1","35,0","29,4","34,2","45,2","10,0","50,3","0,4","0,6","1,2","1,2",420.2,86.0,81.0,5.0,De Nollen
De Hoef III en IV,26.89468054890627,9.872073198312064e-09,2.6550625502402233e-09,111,"POLYGON ((4.723872045816349 52.62507433186454, 4.7279021586005365 52.62948346980513, 4.725403986026092 52.630379806473066, 4.723693132418884 52.63127014304851, 4.716948499198013 52.633760549393074, 4.713168613427883 52.63128463609775, 4.712249183913722 52.630267609184074, 4.712407821051976 52.62903623077736, 4.714013128534757 52.627594211328066, 4.716141237960573 52.626003569145645, 4.714890043719184 52.625343138634186, 4.714894753455205 52.62503475600273, 4.714579584457729 52.62477786769722, 4.7152112276601 52.624573643895864, 4.715780708414879 52.6247903558421, 4.716232128076352 52.62502484970103, 4.7179882443016306 52.62404319460338, 4.720552320924349 52.622884862926256, 4.721535408935258 52.62251507917809, 4.723872045816349 52.62507433186454))",GEBIED.3,40.0,1.0,0361000000000040,2.0,40,De Hoef III en IV,4.0,1.0,,1.0,1995-05-15 22:00:00+00:00,,,,P,Nee,Nee,1995-05-15 22:00:00+00:00,,,,,,,,,,,,,,,,,2012-08-23 09:13:02+00:00,,Beheer,100.0,,,,,,,,"POLYGON ((4.72387211 52.62507437, 4.72790222 52.62948351, 4.72540405 52.63037985, 4.7236932 52.63127018, 4.71694856 52.63376059, 4.71316868 52.63128468, 4.71224925 52.63026765, 4.71240789 52.62903627, 4.71401319 52.62759425, 4.7161413 52.62600361, 4.71489011 52.62534318, 4.71489482 52.6250348, 4.71457965 52.62477791, 4.71521129 52.62457368, 4.71578077 52.6247904, 4.71623219 52.62502489, 4.71798831 52.62404324, 4.72055239 52.6228849, 4.72153547 52.62251512, 4.72387211 52.62507437))",De Hoef III en IV,Alkmaar,Buurt,880.0,60.0,16.0,2900.0,"31,4","26,2","45,2","11,9","29,1","59,0","8,7","6,7","10,8","16,8","20,6",18.5,74.0,72.0,2.0,De Hoef III en IV
Burgemeesterskwartier,3.922271971024534,2.3854547227475782e-09,9.356402197180925e-11,14,"POLYGON ((4.732371708553606 52.61818674622894, 4.7322228772213615 52.61808749693847, 4.733192814069344 52.61765870459136, 4.734857102864582 52.61901937398034, 4.7349867890438695 52.619402846968676, 4.7362828417227805 52.62038903060982, 4.737567412726108 52.61973427634195, 4.738401580061169 52.62049613120173, 4.7387130271331275 52.621135346403825, 4.739484565529543 52.62278762058642, 4.740184121200467 52.622996889336335, 4.740825086018582 52.62312250497067, 4.741251068349568 52.62342267808388, 4.741482221707579 52.6240277016506, 4.74032042055182 52.62441770769728, 4.73792024323883 52.62517139315812, 4.7370676838277905 52.62399246897316, 4.736600379429385 52.6232611667002, 4.7353721859218965 52.62177700368859, 4.733817578512584 52.620282522369266, 4.732236245441428 52.61939106402483, 4.731262931738302 52.61868389636326, 4.732371708553606 52.61818674622894))",GEBIED.4,19.0,1.0,0361000000000019,2.0,19,Burgemeesterskwartier,1.0,1.0,,1.0,1995-05-15 22:00:00+00:00,,,,P,Nee,Nee,1995-05-15 22:00:00+00:00,,,,,,,,,,,,,,,,,2012-08-23 09:13:02+00:00,,Beheer,100.0,,,,,,,,"POLYGON ((4.73237177 52.61818679, 4.73222294 52.61808754, 4.73319288 52.61765875, 4.73485717 52.61901941, 4.73498685 52.61940289, 4.73628291 52.62038907, 4.73756748 52.61973432, 4.73840165 52.62049617, 4.73871309 52.62113539, 4.73948463 52.62278766, 4.74018419 52.62299693, 4.74082515 52.62312255, 4.74125113 52.62342272, 4.74148229 52.62402774, 4.74032049 52.62441775, 4.73792031 52.62517143, 4.73706775 52.62399251, 4.73660044 52.62326121, 4.73537225 52.62177704, 4.73381764 52.62028256, 4.73223631 52.6193911, 4.731263 52.61868394, 4.73237177 52.61818679))",Burgemeesterskwartier,Alkmaar,Buurt,300.0,10.0,7.0,1200.0,"45,6","36,1","31,3","32,6","43,5","16,7","40,5","1,5","1,2","1,5","2,2",400.7,18.0,18.0,0.0,Burgemeesterskwartier
Koedijk / De Weijdt,19.930089772670932,9.542125764883361e-09,1.9017542311624166e-09,55,"POLYGON ((4.7491305811203075 52.677403055291734, 4.746867608793656 52.679284705166715, 4.743571948702354 52.681311310479046, 4.741741607517332 52.68080686653142, 4.742952122512447 52.67939781008465, 4.744112252524071 52.678494276946076, 4.746109713518879 52.67787589023976, 4.747672439467279 52.67693375214314, 4.749041455145663 52.67496758729889, 4.75018704564688 52.674023177882624, 4.752215059761166 52.67178440687949, 4.752483566766819 52.671238141757726, 4.752278887993394 52.670458506226346, 4.748832768466311 52.66575069934039, 4.747006595513711 52.66392313026454, 4.745932699847342 52.66307971857637, 4.745246794830966 52.660372175447066, 4.745308689781584 52.65946934662891, 4.746219209025435 52.65814642010754, 4.7478105927020975 52.65818656669508, 4.74679894374555 52.658696883442914, 4.746107171854926 52.65982581772573, 4.746804800995314 52.66015512025824, 4.746617158164934 52.660949893041376, 4.747091308508543 52.662804245552245, 4.747985215996044 52.66324647871607, 4.748787204643965 52.663371699803875, 4.748796172714237 52.664163081680584, 4.749847930745665 52.664920906896135, 4.750867174008647 52.66580539414885, 4.7514701473056835 52.66756094469949, 4.756004518332924 52.66673245606544, 4.756304888576574 52.66666961118233, 4.757048035564441 52.667196282073434, 4.757356774502152 52.667761891250635, 4.756204087970423 52.66802188483487, 4.75688519756962 52.669696126820696, 4.7578307822880985 52.67025460084419, 4.759041706527325 52.670079468517606, 4.759982772804019 52.670707399379175, 4.7602391371953265 52.67120126702259, 4.759649719554532 52.67145191275916, 4.758775652805608 52.67143974960843, 4.757776270585607 52.67231797056637, 4.758316703127485 52.67412371326045, 4.757983218757004 52.674759231627036, 4.758417347259655 52.675798100039366, 4.7491305811203075 52.677403055291734))",GEBIED.5,72.0,1.0,0361000000000072,2.0,72,Koedijk / De Weijdt,7.0,1.0,,1.0,1995-05-15 22:00:00+00:00,,,,P,Nee,Nee,1995-05-15 22:00:00+00:00,,,,,,,,,,,,,,,,,2012-08-23 09:13:02+00:00,,Beheer,100.0,,,,,,,,"POLYGON ((4.74913065 52.6774031, 4.74686767 52.67928475, 4.74357201 52.68131135, 4.74174167 52.68080691, 4.74295219 52.67939785, 4.74411232 52.67849432, 4.74610978 52.67787593, 4.7476725 52.67693379, 4.74904152 52.67496763, 4.75018711 52.67402322, 4.75221512 52.67178445, 4.75248363 52.67123818, 4.75227895 52.67045855, 4.74883283 52.66575074, 4.74700666 52.66392317, 4.74593276 52.66307976, 4.74524686 52.66037222, 4.74530875 52.65946939, 4.74621927 52.65814646, 4.74781066 52.65818661, 4.74679901 52.65869692, 4.74610724 52.65982586, 4.74680487 52.66015516, 4.74661722 52.66094993, 4.74709137 52.66280429, 4.74798528 52.66324652, 4.74878727 52.66337174, 4.74879624 52.66416312, 4.749848 52.66492095, 4.75086724 52.66580544, 4.75147021 52.66756099, 4.75600458 52.6667325, 4.75630495 52.66666965, 4.7570481 52.66719632, 4.75735684 52.66776193, 4.75620415 52.66802193, 4.75688526 52.66969617, 4.75783085 52.67025464, 4.75904177 52.67007951, 4.75998284 52.67070744, 4.7602392 52.67120131, 4.75964978 52.67145195, 4.75877572 52.67143979, 4.75777634 52.67231801, 4.75831677 52.67412375, 4.75798328 52.67475927, 4.75841741 52.67579814, 4.74913065 52.6774031))",Koedijk en De Weijdt,Alkmaar,Buurt,590.0,30.0,12.0,2000.0,"33,5","28,1","42,6","15,9","33,3","38,2","16,6","2,9","5,1","8,9","11,3",161,72.0,63.0,9.0,Koedijk / De Weijdt
De Horn Zuid,19.141609460107965,7.908420390095045e-09,1.5137989455355403e-09,77,"POLYGON ((4.7690957883564655 52.65631091355954, 4.76565769601396 52.657059013609654, 4.763203724255955 52.65816350108118, 4.762472291907128 52.658200463551495, 4.761721372523769 52.658170292344195, 4.759995379602359 52.65777876097003, 4.760165508162729 52.65748855276598, 4.759732386807097 52.657432947415145, 4.758977023398635 52.65616291131472, 4.759530404969777 52.656041386803516, 4.759103168654666 52.65531808588285, 4.759272630236191 52.65491939909494, 4.758385566653555 52.65339455773668, 4.759134130615451 52.65319745102036, 4.7573582671153165 52.65169271788617, 4.757015707574934 52.651353243577134, 4.7567946863556925 52.650608297012006, 4.757488663624631 52.64852580037863, 4.757267973083283 52.64799449180043, 4.764617106505746 52.648896184173175, 4.7653199474043655 52.6499278130251, 4.7690957883564655 52.65631091355954))",GEBIED.6,63.0,1.0,0361000000000063,2.0,63,De Horn Zuid,6.0,1.0,,1.0,1995-05-15 22:00:00+00:00,,,,P,Nee,Nee,1995-05-15 22:00:00+00:00,,,,,,,,,,,,,,,,,2012-08-23 09:13:02+00:00,,Beheer,100.0,,,,,,,,"POLYGON ((4.76909585 52.65631095, 4.76565776 52.65705905, 4.76320379 52.65816354, 4.76247236 52.6582005, 4.76172144 52.65817033, 4.75999544 52.6577788, 4.76016557 52.65748859, 4.75973245 52.65743299, 4.75897709 52.65616295, 4.75953047 52.65604143, 4.75910323 52.65531813, 4.7592727 52.65491944, 4.75838563 52.6533946, 4.7591342 52.65319749, 4.75735833 52.65169276, 4.75701577 52.65135328, 4.75679475 52.65060834, 4.75748873 52.64852584, 4.75726804 52.64799453, 4.76461717 52.64889622, 4.76532001 52.64992785, 4.76909585 52.65631095))",De Horn-Zuid,Alkmaar,Buurt,750.0,25.0,7.0,2700.0,"33,6","27,8","38,9","15,5","33,2","34,9","12,8","2,5","4,8","7,8","10,1",150.9,60.0,57.0,3.0,De Horn Zuid
Centrum,37.86945362021672,8.05406089123567e-09,3.050028853750505e-09,203,"POLYGON ((4.752467073946596 52.64743891413018, 4.757267973083283 52.64799449180043, 4.757488663624631 52.64852580037863, 4.7567946863556925 52.650608297012006, 4.757015707574934 52.651353243577134, 4.7573582671153165 52.65169271788617, 4.759134130615451 52.65319745102036, 4.758385566653555 52.65339455773668, 4.759272630236191 52.65491939909494, 4.759103168654666 52.65531808588285, 4.759530404969777 52.656041386803516, 4.758977023398635 52.65616291131472, 4.759732386807097 52.657432947415145, 4.760165508162729 52.65748855276598, 4.759995379602359 52.65777876097003, 4.759722126756114 52.65769834897478, 4.758153118763978 52.657969869531925, 4.7585909382299185 52.65882411023384, 4.75885793340277 52.65902216144563, 4.758870544940784 52.659560841305264, 4.758314193016248 52.65974111455232, 4.755783811345111 52.661170715329455, 4.754068244852548 52.66089226698805, 4.753585196119984 52.66031871852081, 4.753951959483932 52.659782013386334, 4.753139079212459 52.658495681894685, 4.74894262676989 52.657798556607915, 4.748454590118006 52.657324008035175, 4.748701620373607 52.65676582509666, 4.749357818812998 52.65660422349313, 4.7509818017169225 52.65710888203857, 4.753700151105234 52.657485370436966, 4.75486117321857 52.65721130882917, 4.753948016432536 52.655916171564584, 4.753620206131269 52.655926100177375, 4.753022757745896 52.65500591246517, 4.752730001511893 52.654025685829616, 4.75270373985018 52.653704027245325, 4.752918499743758 52.65327354261007, 4.750991261428624 52.651982944010726, 4.7504209145743514 52.65188485146271, 4.750302135760541 52.65212437259254, 4.749643812933302 52.65214478729615, 4.749564194923929 52.65181211096328, 4.747815464300528 52.651005517396555, 4.748122551406374 52.650192015430854, 4.750226819809453 52.650408456592004, 4.751554986300558 52.65063326998243, 4.752610113173253 52.6499932879355, 4.752641641561115 52.649642333369535, 4.752105980665862 52.64914865332315, 4.7520101534204695 52.64860008999716, 4.752467073946596 52.64743891413018))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmakwartier,1.2533048885768652,2.4108292189100414e-09,3.0215040455839e-11,2,"POLYGON ((4.73792024323883 52.62517139315812, 4.74032042055182 52.62441770769728, 4.741482221707579 52.6240277016506, 4.741718554147195 52.62458512901424, 4.742119297094062 52.624783856818404, 4.743571849730203 52.6248244889592, 4.743942092246252 52.625268731477775, 4.744194718042802 52.62542711545359, 4.744714302162577 52.625829814957065, 4.745137438410307 52.6263398568769, 4.745508060491697 52.626935289705735, 4.746010940626309 52.62721021949913, 4.746554004577942 52.62765127824707, 4.746104937083834 52.62814598995463, 4.744634348327285 52.62887187255314, 4.742826785233165 52.6294091549549, 4.74170367154376 52.628717219564244, 4.741035648183862 52.62809715489313, 4.7387981256032115 52.626073073484136, 4.73792024323883 52.62517139315812))",GEBIED.8,14.0,1.0,0361000000000014,2.0,14,Emmakwartier,1.0,1.0,,1.0,1995-05-15 22:00:00+00:00,,,,P,Nee,Nee,1995-05-15 22:00:00+00:00,,,,,,,,,,,,,,,,,2012-08-23 09:13:02+00:00,,Beheer,100.0,,,,,,,,"POLYGON ((4.73792031 52.62517143, 4.74032049 52.62441775, 4.74148229 52.62402774, 4.74171862 52.62458517, 4.74211936 52.6247839, 4.74357191 52.62482453, 4.74394216 52.62526877, 4.74419478 52.62542716, 4.74471437 52.62582986, 4.7451375 52.6263399, 4.74550813 52.62693533, 4.74601101 52.62721026, 4.74655407 52.62765132, 4.746105 52.62814603, 4.74463441 52.62887191, 4.74282685 52.6294092, 4.74170374 52.62871726, 4.74103571 52.6280972, 4.73879819 52.62607311, 4.73792031 52.62517143))",Emmakwartier,Alkmaar,Buurt,540.0,100.0,59.0,1200.0,"46,7","38,7","33,7","30,3","41,5","35,0","31,7","4,0","4,9","7,5","10,1",346.6,18.0,17.0,1.0,Emmakwartier
Cranenbroek,39.0255893533026,2.5253807068536708e-09,9.85544704264244e-10,12,"POLYGON ((4.7279021586005365 52.62948346980513, 4.723872045816349 52.62507433186454, 4.72554312411001 52.6243487422964, 4.729007525743823 52.62657511661901, 4.7304030958089305 52.627334363523545, 4.730820602488454 52.628244001625724, 4.731371965086753 52.62932518929785, 4.732403280329757 52.63095536575139, 4.732789214757416 52.63125805315831, 4.730513887813346 52.63230528996968, 4.7279021586005365 52.62948346980513))",GEBIED.9,17.0,1.0,0361000000000017,2.0,17,Cranenbroek,1.0,1.0,,1.0,1995-05-15 22:00:00+00:00,,,,P,Nee,Nee,1995-05-15 22:00:00+00:00,,,,,,,,,,,,,,,,,2012-08-23 09:13:02+00:00,,Beheer,100.0,,,,,,,,"POLYGON ((4.72790222 52.62948351, 4.72387211 52.62507437, 4.72554319 52.62434878, 4.72900759 52.62657516, 4.73040316 52.6273344, 4.73082067 52.62824404, 4.73137203 52.62932523, 4.73240335 52.63095541, 4.73278928 52.63125809, 4.73051395 52.63230533, 4.72790222 52.62948351))",Cranenbroek,Alkmaar,Buurt,165.0,5.0,9.0,500.0,"44,4","36,4","30,9","31,6","42,1","19,6","30,2","1,6","1,6","2,0","2,4",402.5,19.0,19.0,0.0,Cranenbroek
