regio,gm_naam,recs,a_inw,a_65_oo,a_ste,p_ste,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_opp_ha,a_lan_ha,a_wat_ha,wijk_name,green_percentage,total_area_ha,green_area_ha,green_features_count,geometry
Cranenbroek,Alkmaar,Buurt,560,165,5,9,500,"44,4","36,4","30,9","31,6","42,1","19,6","30,2","1,6","1,6","2,0","2,4",402.5,19,19,0,Cranenbroek,39.0255893533026,2.5253807068536708e-09,9.85544704264244e-10,12,"POLYGON ((4.7279021586005365 52.62948346980513, 4.723872045816349 52.62507433186454, 4.72554312411001 52.6243487422964, 4.729007525743823 52.62657511661901, 4.7304030958089305 52.627334363523545, 4.730820602488454 52.628244001625724, 4.731371965086753 52.62932518929785, 4.732403280329757 52.63095536575139, 4.732789214757416 52.63125805315831, 4.730513887813346 52.63230528996968, 4.7279021586005365 52.62948346980513))"
Daalmeer Noord-Oost,Alkmaar,Buurt,2460,340,15,5,2000,"38,2","30,7","33,0","22,3","37,6","23,8","25,9","1,8","2,6","4,3","5,4",216.3,41,39,2,Daalmeer Noord-Oost,20.614598654334756,5.4902810514568e-09,1.1317994037528096e-09,49,"POLYGON ((4.778589669828204 52.672302476671405, 4.767204721607075 52.67428646836026, 4.766902620348371 52.67388475727567, 4.766484756183332 52.67386955545087, 4.766040010842451 52.6737446400517, 4.765624824904407 52.67356732933958, 4.7650858316992 52.66963848483366, 4.765865540645654 52.66936739877497, 4.773162684040067 52.66902200148877, 4.773251810618369 52.66913443289105, 4.773813979932512 52.66902447168501, 4.774719006332464 52.66813436100392, 4.775970973890267 52.66784865364181, 4.778589669828204 52.672302476671405))"
Daalmeer Noord-West,Alkmaar,Buurt,2430,485,10,5,2000,"35,3","28,6","37,2","18,6","34,0","33,1","18,8","3,1","4,7","7,8","10,5",161.4,28,27,1,Daalmeer Noord-West,3.6244289313220928,3.776073700501596e-09,1.368611076690246e-10,5,"POLYGON ((4.765624824904407 52.67356732933958, 4.766040010842451 52.6737446400517, 4.766484756183332 52.67386955545087, 4.766902620348371 52.67388475727567, 4.767204721607075 52.67428646836026, 4.765762438246826 52.67452572263336, 4.758417347259655 52.675798100039366, 4.757983218757004 52.674759231627036, 4.758316703127485 52.67412371326045, 4.757776270585607 52.67231797056637, 4.758775652805608 52.67143974960843, 4.759649719554532 52.67145191275916, 4.7602391371953265 52.67120126702259, 4.759982772804019 52.670707399379175, 4.759041706527325 52.670079468517606, 4.759016486542196 52.669830030450434, 4.764597412770453 52.6697968274308, 4.7650858316992 52.66963848483366, 4.765624824904407 52.67356732933958))"
Daalmeer Zuid-Oost,Alkmaar,Buurt,2735,510,15,5,2200,"37,0","30,6","35,6","20,9","36,2","27,5","21,8","2,1","3,3","6,2","7,4",197.2,45,43,2,Daalmeer Zuid-Oost,16.981907124439267,6.004667035040449e-09,1.01970697902239e-09,61,"POLYGON ((4.764469469455837 52.66452006865178, 4.763000064577087 52.66337900818179, 4.760538896872654 52.661000884382446, 4.760903734217602 52.66083877124177, 4.7623422465735485 52.6604295007053, 4.763139574045119 52.66044909071507, 4.764266797925141 52.660662244641436, 4.765480195499533 52.66077461528686, 4.765976118940942 52.66121189992251, 4.765965233405966 52.661544055385534, 4.7651140746765694 52.66193876502329, 4.764443667993692 52.66252602239195, 4.764575856389507 52.66276200855107, 4.765947297175384 52.66330642555261, 4.767296840966239 52.6637665831922, 4.76877289272179 52.6639025855554, 4.76976454942751 52.66482947350786, 4.771687799100087 52.66537020664779, 4.774158518744965 52.66477435210781, 4.774463248652607 52.6653462497551, 4.775970973890267 52.66784865364181, 4.774719006332464 52.66813436100392, 4.773813979932512 52.66902447168501, 4.773251810618369 52.66913443289105, 4.773162684040067 52.66902200148877, 4.765865540645654 52.66936739877497, 4.7650858316992 52.66963848483366, 4.764469469455837 52.66452006865178))"
Daalmeer Zuid-West,Alkmaar,Buurt,2780,525,15,6,2300,"31,0","26,0","44,3","12,5","29,6","50,9","8,9","5,2","10,1","17,3","20,7",24.7,43,41,2,Daalmeer Zuid-West,11.147551803553176,5.665416813904936e-09,6.315552742172646e-10,33,"POLYGON ((4.764469469455837 52.66452006865178, 4.7650858316992 52.66963848483366, 4.764597412770453 52.6697968274308, 4.759016486542196 52.669830030450434, 4.759041706527325 52.670079468517606, 4.7578307822880985 52.67025460084419, 4.75688519756962 52.669696126820696, 4.756204087970423 52.66802188483487, 4.757356774502152 52.667761891250635, 4.757048035564441 52.667196282073434, 4.756304888576574 52.66666961118233, 4.756004518332924 52.66673245606544, 4.7558903326481685 52.66623236802287, 4.7572522161093165 52.66592621282474, 4.75781901040279 52.666081770869184, 4.75851483243035 52.66505655868592, 4.75972492559229 52.664211580566736, 4.759884710519474 52.66358419026528, 4.759550066458628 52.663371000803785, 4.758205607543725 52.66361171257151, 4.757866238761526 52.664056591060415, 4.75700233983234 52.66419718781641, 4.756417454215142 52.6640042508091, 4.755668797626163 52.66275392236512, 4.756204844351037 52.66243977001394, 4.7582856333747525 52.66219390823236, 4.760538896872654 52.661000884382446, 4.763000064577087 52.66337900818179, 4.764469469455837 52.66452006865178))"
De Hoef I en II,Alkmaar,Buurt,3400,685,20,7,2800,"36,7","32,2","32,6","17,8","33,1","46,7","10,7","3,5","6,2","10,5","12,4",137.7,51,49,3,De Hoef I en II,21.764812374088464,6.82947749487687e-09,1.4864229628905478e-09,39,"POLYGON ((4.7279021586005365 52.62948346980513, 4.730513887813346 52.63230528996968, 4.732937755126902 52.63496703064014, 4.730680859959198 52.635820695643105, 4.725335370792379 52.63750628478812, 4.723826797675987 52.637917170978774, 4.723142514428454 52.63719527510201, 4.720551658599197 52.63538206696087, 4.71895441455104 52.63482337385239, 4.716948499198013 52.633760549393074, 4.723693132418884 52.63127014304851, 4.725403986026092 52.630379806473066, 4.7279021586005365 52.62948346980513))"
De Hoef III en IV,Alkmaar,Buurt,3735,880,60,16,2900,"31,4","26,2","45,2","11,9","29,1","59,0","8,7","6,7","10,8","16,8","20,6",18.5,74,72,2,De Hoef III en IV,26.89468054890627,9.872073198312064e-09,2.6550625502402237e-09,111,"POLYGON ((4.723872045816349 52.62507433186454, 4.7279021586005365 52.62948346980513, 4.725403986026092 52.630379806473066, 4.723693132418884 52.63127014304851, 4.716948499198013 52.633760549393074, 4.713168613427883 52.63128463609775, 4.712249183913722 52.630267609184074, 4.712407821051976 52.62903623077736, 4.714013128534757 52.627594211328066, 4.716141237960573 52.626003569145645, 4.714890043719184 52.625343138634186, 4.714894753455205 52.62503475600273, 4.714579584457729 52.62477786769722, 4.7152112276601 52.624573643895864, 4.715780708414879 52.6247903558421, 4.716232128076352 52.62502484970103, 4.7179882443016306 52.62404319460338, 4.720552320924349 52.622884862926256, 4.721535408935258 52.62251507917809, 4.723872045816349 52.62507433186454))"
De Horn Noord,Alkmaar,Buurt,3165,700,20,6,2600,"33,5","27,7","37,6","14,4","32,6","36,1","11,8","3,3","5,4","8,5","10,5",147.6,50,49,1,De Horn Noord,17.779696464387452,6.606914977273176e-09,1.1746894286193236e-09,37,"POLYGON ((4.7690957883564655 52.65631091355954, 4.774158518744965 52.66477435210781, 4.771687799100087 52.66537020664779, 4.76976454942751 52.66482947350786, 4.76877289272179 52.6639025855554, 4.767296840966239 52.6637665831922, 4.765947297175384 52.66330642555261, 4.764575856389507 52.66276200855107, 4.764443667993692 52.66252602239195, 4.7651140746765694 52.66193876502329, 4.765965233405966 52.661544055385534, 4.765976118940942 52.66121189992251, 4.765480195499533 52.66077461528686, 4.764266797925141 52.660662244641436, 4.763139574045119 52.66044909071507, 4.7623422465735485 52.6604295007053, 4.760903734217602 52.66083877124177, 4.760394019370275 52.66037012600025, 4.7595159128659805 52.66019560101158, 4.758870544940784 52.659560841305264, 4.75885793340277 52.65902216144563, 4.7585909382299185 52.65882411023384, 4.758153118763978 52.657969869531925, 4.759722126756114 52.65769834897478, 4.759995379602359 52.65777876097003, 4.761721372523769 52.658170292344195, 4.762472291907128 52.658200463551495, 4.763203724255955 52.65816350108118, 4.76565769601396 52.657059013609654, 4.7690957883564655 52.65631091355954))"
De Horn Zuid,Alkmaar,Buurt,3270,750,25,7,2700,"33,6","27,8","38,9","15,5","33,2","34,9","12,8","2,5","4,8","7,8","10,1",150.9,60,57,3,De Horn Zuid,19.141609460107965,7.908420390095045e-09,1.5137989455355403e-09,77,"POLYGON ((4.7690957883564655 52.65631091355954, 4.76565769601396 52.657059013609654, 4.763203724255955 52.65816350108118, 4.762472291907128 52.658200463551495, 4.761721372523769 52.658170292344195, 4.759995379602359 52.65777876097003, 4.760165508162729 52.65748855276598, 4.759732386807097 52.657432947415145, 4.758977023398635 52.65616291131472, 4.759530404969777 52.656041386803516, 4.759103168654666 52.65531808588285, 4.759272630236191 52.65491939909494, 4.758385566653555 52.65339455773668, 4.759134130615451 52.65319745102036, 4.7573582671153165 52.65169271788617, 4.757015707574934 52.651353243577134, 4.7567946863556925 52.650608297012006, 4.757488663624631 52.64852580037863, 4.757267973083283 52.64799449180043, 4.764617106505746 52.648896184173175, 4.7653199474043655 52.6499278130251, 4.7690957883564655 52.65631091355954))"
De Mare Centrum,Alkmaar,Buurt,2475,650,85,33,2000,"28,5","24,2","48,6","7,7","26,4","68,0","3,6","6,8","13,7","23,3","27,1",6.8,61,57,3,De Mare Centrum,37.86945362021672,8.05406089123567e-09,3.0500288537505053e-09,203,"POLYGON ((4.752467073946596 52.64743891413018, 4.757267973083283 52.64799449180043, 4.757488663624631 52.64852580037863, 4.7567946863556925 52.650608297012006, 4.757015707574934 52.651353243577134, 4.7573582671153165 52.65169271788617, 4.759134130615451 52.65319745102036, 4.758385566653555 52.65339455773668, 4.759272630236191 52.65491939909494, 4.759103168654666 52.65531808588285, 4.759530404969777 52.656041386803516, 4.758977023398635 52.65616291131472, 4.759732386807097 52.657432947415145, 4.760165508162729 52.65748855276598, 4.759995379602359 52.65777876097003, 4.759722126756114 52.65769834897478, 4.758153118763978 52.657969869531925, 4.7585909382299185 52.65882411023384, 4.75885793340277 52.65902216144563, 4.758870544940784 52.659560841305264, 4.758314193016248 52.65974111455232, 4.755783811345111 52.661170715329455, 4.754068244852548 52.66089226698805, 4.753585196119984 52.66031871852081, 4.753951959483932 52.659782013386334, 4.753139079212459 52.658495681894685, 4.74894262676989 52.657798556607915, 4.748454590118006 52.657324008035175, 4.748701620373607 52.65676582509666, 4.749357818812998 52.65660422349313, 4.7509818017169225 52.65710888203857, 4.753700151105234 52.657485370436966, 4.75486117321857 52.65721130882917, 4.753948016432536 52.655916171564584, 4.753620206131269 52.655926100177375, 4.753022757745896 52.65500591246517, 4.752730001511893 52.654025685829616, 4.75270373985018 52.653704027245325, 4.752918499743758 52.65327354261007, 4.750991261428624 52.651982944010726, 4.7504209145743514 52.65188485146271, 4.750302135760541 52.65212437259254, 4.749643812933302 52.65214478729615, 4.749564194923929 52.65181211096328, 4.747815464300528 52.651005517396555, 4.748122551406374 52.650192015430854, 4.750226819809453 52.650408456592004, 4.751554986300558 52.65063326998243, 4.752610113173253 52.6499932879355, 4.752641641561115 52.649642333369535, 4.752105980665862 52.64914865332315, 4.7520101534204695 52.64860008999716, 4.752467073946596 52.64743891413018))"
De Nollen,Alkmaar,Buurt,1560,150,5,1,1200,"47,1","35,0","29,4","34,2","45,2","10,0","50,3","0,4","0,6","1,2","1,2",420.2,86,81,5,De Nollen,32.06684350909767,1.1543976061529308e-08,3.7017887383783005e-09,123,"POLYGON ((4.800509467165786 52.660240916380076, 4.773669370907684 52.648354448676294, 4.768931118204729 52.64595797859444, 4.773114231429442 52.642647614444776, 4.774328738306491 52.64211164355861, 4.777920488518212 52.64152569527065, 4.778361914675754 52.64277648882363, 4.7790600403261 52.6434811483244, 4.780209810547672 52.644150320814745, 4.7807970034919 52.64458553781784, 4.78229935016789 52.64653676402282, 4.783145403662857 52.646709459370484, 4.783746507538975 52.647019341684654, 4.788299206613197 52.65336802895411, 4.788995325022257 52.65400140165827, 4.795127910418992 52.65672961889897, 4.794898366222816 52.65698293400564, 4.798746583687373 52.65868470602245, 4.799672344493516 52.65787844266917, 4.8006661020128885 52.65787219758835, 4.800509467165786 52.660240916380076))"
