regio,gm_naam,recs,a_inw,a_65_oo,a_ste,p_ste,a_inkont,g_ink_po,g_ink_pi,p_ink_li,p_ink_hi,g_hh_sti,p_hh_li,p_hh_hi,p_hh_lkk,p_hh_osm,p_hh_110,p_hh_120,m_hh_ver,a_opp_ha,a_lan_ha,a_wat_ha,wijk_name,green_percentage,total_area_ha,green_area_ha,green_features_count,geometry
Oosterhout,Alkmaar,Buurt,970,230,5,5,900,"33,8","30,3","37,2","11,9","31,6","50,6","5,2","3,1","4,5","10,3","12,5",86.3,77,69,8,Oosterhout,24.57036876665012,1.022422403666383e-08,2.512129549336784e-09,79,"POLYGON ((4.751713762705471 52.62498337498447, 4.749144796431123 52.62201367057052, 4.7477422416222055 52.62046251778858, 4.748747836268026 52.619632021934706, 4.750440384512756 52.61889113627034, 4.752370714063614 52.618487487601115, 4.759399012657476 52.61842777135453, 4.759570564535979 52.617295862547365, 4.7630783392162614 52.61733787060978, 4.768204027109241 52.61693999661907, 4.769397131070679 52.62162340247795, 4.766121559860931 52.62351875837746, 4.764720032185184 52.62411904970749, 4.764732536608631 52.623912799535546, 4.764153782056703 52.62334580906851, 4.763565717121592 52.62232602831058, 4.760967565166972 52.620665446027544, 4.760184102925894 52.61997074931503, 4.758433020657564 52.620570129109105, 4.7600595346593675 52.62217438149105, 4.759048715127301 52.62283240614679, 4.755556131975839 52.624015124268325, 4.751713762705471 52.62498337498447))"
Oranjepark,Alkmaar,Buurt,1260,435,5,5,1100,"47,8","41,6","31,0","32,4","47,7","19,8","33,6","1,3","1,8","2,0","2,6",448.3,48,48,0,Oranjepark,21.862179915568,6.417962571542131e-09,1.4031065243043554e-09,63,"POLYGON ((4.723872045816349 52.62507433186454, 4.721535408935258 52.62251507917809, 4.727476330000976 52.620077204893406, 4.727662839530365 52.62026048502014, 4.728950881328872 52.619733597575596, 4.731262931738302 52.61868389636326, 4.732236245441428 52.61939106402483, 4.733817578512584 52.620282522369266, 4.7353721859218965 52.62177700368859, 4.736600379429385 52.6232611667002, 4.7321983698809635 52.62530089631234, 4.73057389941775 52.626026790919916, 4.729007525743823 52.62657511661901, 4.72554312411001 52.6243487422964, 4.723872045816349 52.62507433186454))"
Oterleek,Alkmaar,Buurt,625,160,10,19,500,"39,5","33,9","39,2","24,2","43,6","24,7","39,7","2,5","4,2","6,3","9,7",420,1005,986,19,Oterleek,89.85265663714316,1.334500537289285e-07,1.1990841855913717e-07,308,"POLYGON ((4.870100403497586 52.63392143373391, 4.870921574805153 52.63382032791254, 4.871215618994513 52.63380631695372, 4.8717622567270595 52.63381240811898, 4.873076216685305 52.633881681301226, 4.8739756733495785 52.633961329116076, 4.874242560615941 52.63395420440607, 4.874288293981935 52.633984598746586, 4.874373646230449 52.633974271783686, 4.87452210607762 52.633961162018096, 4.874663964025119 52.63396950174958, 4.874793072679877 52.63394363652017, 4.8751972001012085 52.633858048735334, 4.875256150264642 52.633845567079284, 4.875419850747889 52.63381485334815, 4.8755179502025925 52.63400409594503, 4.875493176908395 52.63400797054105, 4.875518021543623 52.634067797471225, 4.875536622024438 52.634112588178276, 4.874363722212554 52.634273268947524, 4.874325344055448 52.63427338201743, 4.874047450535441 52.6342310396405, 4.87351491484353 52.63416667458112, 4.873399398713845 52.63444647720035, 4.873134826517844 52.63445114836578, 4.8724541219610025 52.63442654432323, 4.871892351478625 52.63439889294966, 4.871379981491847 52.634456678847116, 4.870865244922867 52.63452846330645, 4.870198349958794 52.63461217510868, 4.870081258449666 52.634626872270346, 4.869238014643279 52.634753228773796, 4.868482870779242 52.6348728727728, 4.868299978092283 52.63490184935945, 4.867293824794623 52.635090220689435, 4.867087400147036 52.635111570231885, 4.8666809424771795 52.63515336155431, 4.866602318939561 52.635161447338064, 4.866235496908516 52.63519422574994, 4.865692373323715 52.63523547774399, 4.865000138391444 52.63528058406648, 4.864416846351749 52.635316944527965, 4.863968389501696 52.63534860207766, 4.863881991094852 52.63535950079424, 4.863858132504146 52.63547020798557, 4.863848673073776 52.635514131741715, 4.863753979601753 52.63584362609256, 4.863365274443432 52.63670774117724, 4.8631741582091035 52.63710882459478, 4.862972379013759 52.63745107540612, 4.862895557423127 52.63752822432164, 4.86279639117629 52.63759735692487, 4.8626885928427575 52.637661903847004, 4.862598397208454 52.637709623413244, 4.862271846581619 52.637844347324446, 4.862067762659182 52.63793070291664, 4.861935580626274 52.6379697975729, 4.861814487379943 52.638019249392926, 4.861733715440629 52.63804591698862, 4.861527968309848 52.63810314578645, 4.861446378593715 52.63812528002464, 4.861412453228291 52.63813448569297, 4.86136435977071 52.63815859238303, 4.861269340708725 52.638230213532324, 4.86125474635908 52.63824122120874, 4.861483530212437 52.63841238751434, 4.861554588948897 52.63846555535648, 4.860861498163709 52.638944445908265, 4.860645578645884 52.63909205732267, 4.860554720081618 52.63913548550975, 4.860478260457864 52.63915957405296, 4.860345979024368 52.63918433192815, 4.859466763109548 52.639326798671036, 4.858799391236964 52.63943493470995, 4.8584208641800295 52.639489206359634, 4.857908909447821 52.63956129774573, 4.857464675935418 52.63962715494548, 4.857203278674164 52.63965740042791, 4.857015640286185 52.63969296211598, 4.856826000785564 52.63974498811518, 4.856490487447017 52.63985452800219, 4.856121040590948 52.63998216839519, 4.855857390119045 52.6400519445283, 4.855571876970947 52.64009455290088, 4.85535997866273 52.64012019848795, 4.855211182150226 52.640138208296236, 4.855013375890174 52.64014688557134, 4.85483980603936 52.640140275954614, 4.854615027045156 52.64011321554657, 4.854499275645341 52.6400900043913, 4.854345440801776 52.64006289278784, 4.854262199194895 52.64006589893534, 4.854196616469336 52.64007708164348, 4.8541698731073115 52.64008709034076, 4.854141965926414 52.64011389987478, 4.854136897876865 52.640121273619755, 4.854083622641572 52.64020065237068, 4.854043027454994 52.64027357223127, 4.853979212267624 52.640330273913186, 4.853899353020268 52.64036743733809, 4.853830002839923 52.64038590055311, 4.853725876003963 52.64039698200962, 4.853510538721778 52.640417270482594, 4.852709658154852 52.640469115418696, 4.852116887616289 52.6405069279079, 4.851861847836348 52.64052268493534, 4.851703943772583 52.640539813549665, 4.851606476335958 52.640564466849, 4.85152394192417 52.640594238144544, 4.850971372731601 52.640809902934734, 4.850391510506768 52.64103768252212, 4.8492964242687275 52.6414457227282, 4.849093433464316 52.6415237928258, 4.848843003343355 52.64162711753766, 4.848772617945161 52.64165377843467, 4.848686343488328 52.641680987453675, 4.848587189465712 52.64170669113567, 4.848511189076401 52.64173580691242, 4.848302293165856 52.64181086516228, 4.848240818356246 52.641830097764085, 4.848179468660093 52.64184514286702, 4.8478521636225 52.64192197325515, 4.8475532066903755 52.64200624697206, 4.847476479099413 52.64203312097668, 4.847421504409705 52.64205957241608, 4.847397713565207 52.64208399947386, 4.847377948480023 52.64212349835825, 4.84736879086792 52.64218591781137, 4.847377332405793 52.64222670454028, 4.847419323143106 52.64231326211805, 4.8474509211904175 52.642367823021964, 4.847468681131367 52.64240507467855, 4.847477584078293 52.642438089112545, 4.847451486403647 52.642472301754204, 4.8474052428244825 52.64250718685609, 4.84725131930231 52.6426218117698, 4.8470184795668025 52.64280058813125, 4.846422059652264 52.643238151175616, 4.845729394985207 52.64374688300351, 4.84571357503957 52.643758566221685, 4.844669399039958 52.64452938406402, 4.843553786751289 52.64534602438744, 4.842829225665004 52.645878894823014, 4.842778710814067 52.64591328224658, 4.842729358570331 52.64593729476415, 4.842635468645782 52.645962810892534, 4.842343681067071 52.64602708989739, 4.842140962069721 52.64604353319657, 4.841834008423378 52.646053377912736, 4.841122363967689 52.64606080704352, 4.840512315306728 52.646075493310235, 4.840113636625457 52.64608509163759, 4.839563465497289 52.64611226207555, 4.83953005196015 52.64611390564203, 4.838549297429105 52.64613782047905, 4.838110942133928 52.645606586306506, 4.838026055190809 52.64550372232126, 4.837904235086255 52.645364945602246, 4.837679643500061 52.645097967850674, 4.837553706855151 52.64494826127083, 4.837469793710394 52.644844529606296, 4.837434468268088 52.64480059864706, 4.83736865334728 52.64471949046606, 4.837277581116535 52.64461054893008, 4.83696974984149 52.644242312475946, 4.836943896097196 52.64421138472826, 4.836910472651467 52.64417139879766, 4.8366624041728805 52.6438746436168, 4.836591865058336 52.64379109555037, 4.836530508859374 52.64371639742017, 4.836196313096029 52.643309544565795, 4.835820574543223 52.642874610805066, 4.835636360392092 52.64265925891871, 4.83562030315231 52.642639008166256, 4.835602577967264 52.64261863284106, 4.8355885622482235 52.64259110293077, 4.8355651760854 52.642543811623796, 4.835549972199174 52.64251560215619, 4.835531063533523 52.64243879066976, 4.835423546991307 52.64200190009849, 4.835386203280407 52.641880093966826, 4.83528645125367 52.64155468060254, 4.835241729721013 52.6413992190242, 4.8352044691969995 52.641269684201774, 4.835108763457292 52.64095758149539, 4.834975002139402 52.640477088362815, 4.834953982261146 52.64039089327617, 4.8348648506908765 52.64004966631521, 4.834790137671064 52.63976742639568, 4.834664297102398 52.63944498271356, 4.834606250247563 52.63930866455616, 4.83456814845443 52.63923934885906, 4.83455220611158 52.63921361627414, 4.834547239582173 52.63920559457222, 4.834503011612674 52.63918061126171, 4.8345108226267595 52.63915388364772, 4.834511489739501 52.63914546573003, 4.8344601893469985 52.63913663550071, 4.834511843999211 52.639110201553386, 4.834511488891175 52.63901026209424, 4.834513022307547 52.63867643917696, 4.834479435860256 52.638345301937264, 4.834512187205669 52.63806657190639, 4.834512978940849 52.63780121007568, 4.834496442691533 52.63779222688221, 4.834499842715626 52.63757679215681, 4.834481830282985 52.637546556319656, 4.834480788711035 52.637544798970865, 4.834411603568624 52.637428686056516, 4.834329067467296 52.63735817507016, 4.834325998109164 52.63735555450572, 4.8343152700175605 52.63734639158533, 4.8343108267802615 52.63734259629426, 4.834129766013404 52.63717966979899, 4.834075046281041 52.63713043493173, 4.834030493420814 52.63709035138828, 4.833863061071206 52.636939872257734, 4.833745459162808 52.63683979148622, 4.833800625423229 52.636692514071136, 4.833766525198955 52.63668352991042, 4.8337542819749135 52.63667505190074, 4.833730703145135 52.636662279158884, 4.8337245134792886 52.63665053101426, 4.833494640973587 52.63635442835225, 4.833296995381057 52.63617409593361, 4.833172868087268 52.63608100318705, 4.832760854693145 52.63576191469484, 4.832613412686312 52.63562830608065, 4.832592688889126 52.6355988751269, 4.832581000170237 52.63556988175129, 4.832552136778968 52.6354771697411, 4.8324231266588775 52.63508499458371, 4.832353307577171 52.63482305072543, 4.832375219675509 52.63479684737151, 4.83235236207425 52.63475041157098, 4.832345555366379 52.63474430444414, 4.8323163131545215 52.63471804212121, 4.832312180379066 52.63470957484402, 4.832276251551432 52.63463605344288, 4.832244344747229 52.634589161972784, 4.8321182601849735 52.63441636921124, 4.831999352509467 52.6342274328127, 4.831910321297894 52.634122226002326, 4.831801946097766 52.63402470271432, 4.8317376185563905 52.633963603630065, 4.83135577037736 52.633599975419585, 4.8309900956186915 52.6332755160326, 4.8307771262279475 52.63310923544747, 4.830773118429553 52.6331061071104, 4.830548697626167 52.6329309021168, 4.830458113779429 52.632860170895164, 4.830369797345583 52.6327912117184, 4.830224612497876 52.63267785878818, 4.829609570035089 52.63279790334691, 4.8277545186849204 52.633165547514565, 4.826485402947335 52.63341518402818, 4.825896660048024 52.633530794893545, 4.825576986993466 52.63359356200343, 4.8248351409535974 52.63374201164106, 4.824210347501947 52.63382290572713, 4.824153256868144 52.633826248254074, 4.823688059335091 52.63384669221576, 4.823484332863977 52.63384642749764, 4.822310962987579 52.63384664636646, 4.8213931847976115 52.63384810617016, 4.819916814529561 52.63385788645563, 4.81881209967506 52.63386175056943, 4.8177336096217385 52.633864049410846, 4.813409346349907 52.63387364542611, 4.811606043618247 52.63386222401495, 4.811120754593551 52.633867647664076, 4.810476617762406 52.63387484232342, 4.808716812656481 52.633920000974946, 4.808463235062592 52.633929569617074, 4.808144510779044 52.633954008898414, 4.807816213960334 52.633989679669135, 4.806497694075082 52.634250626731514, 4.806351852705925 52.63428979074457, 4.805415919417174 52.6345810119186, 4.805129080717251 52.634670262359194, 4.8011767909903025 52.63592680317383, 4.800178133690395 52.63624273948935, 4.800084885623408 52.63616445854729, 4.8001364472810355 52.63625592466633, 4.799104099026749 52.636582506276476, 4.796622974155815 52.63735652953865, 4.796300979407671 52.637453843397175, 4.795970439377051 52.637553738171306, 4.795420263731373 52.63771225035886, 4.795064883332152 52.637803588957084, 4.794705942744327 52.63788274002866, 4.78885742629137 52.62755358771259, 4.794477325240557 52.62638702637273, 4.794543617119999 52.626373264835514, 4.795241330484131 52.62622899037103, 4.7958928966238386 52.626089425295916, 4.796455067571128 52.62597475656544, 4.796833154001385 52.62589763666459, 4.796867363228834 52.62589070660171, 4.797076923965136 52.62584743980907, 4.7972650358459 52.625806672519914, 4.797454297512179 52.62576824732724, 4.797641807158342 52.62572828530983, 4.797829167582812 52.625688412130316, 4.798016968300155 52.62564872058368, 4.798207414874928 52.625609940576695, 4.798393744141371 52.625569791782674, 4.798443949039176 52.625559435456935, 4.798583161101138 52.62553064658489, 4.7987734637956345 52.62549150547016, 4.798964065111763 52.6254520959111, 4.799024062134177 52.62543837263168, 4.799253577960589 52.62539349315892, 4.79935955661616 52.62536489850393, 4.799565287184212 52.62532052992392, 4.799773080030382 52.6252765306697, 4.799980877257253 52.62523217158422, 4.80018794526569 52.625187089554316, 4.800391476981199 52.625141360600544, 4.800777071350437 52.62506498422767, 4.800966094852084 52.62502178903133, 4.8011512819767805 52.624978305005, 4.801336463952579 52.62493518015603, 4.801527663240213 52.62489487071694, 4.80164939159173 52.624870036396494, 4.801631327698664 52.62484019956835, 4.806421162966444 52.623848674820884, 4.809634685814636 52.623177074967344, 4.8112650171707205 52.62284292950614, 4.81278944993492 52.62253053849459, 4.812890292562382 52.62250954616446, 4.8144420695835075 52.62218216750745, 4.81606281575485 52.62184125963921, 4.8176545072793635 52.62150693096949, 4.819267510237622 52.62116711075299, 4.819267954389911 52.6211670230024, 4.820872609039048 52.62083136518353, 4.822483795207134 52.620491133277724, 4.824309786023756 52.62010705049962, 4.838906076227514 52.617081498748036, 4.843996232525112 52.61600114399162, 4.844029724427936 52.616061907099464, 4.844854701208275 52.61589344227936, 4.846149567771031 52.61562289529546, 4.847629218505092 52.61532126842424, 4.849249822507565 52.614986199476924, 4.850479333355276 52.614718904523244, 4.852259318074797 52.61435045249625, 4.853256297746687 52.61413969045272, 4.854270172639475 52.613935107149096, 4.855347296417242 52.61370069093884, 4.8556799080606545 52.613630550340304, 4.856291839336259 52.61350153201956, 4.856746443623514 52.613403623422, 4.857222212309967 52.61330131383163, 4.858156103965455 52.61310245212572, 4.859219737825205 52.61288142173119, 4.85999906899092 52.612716100351406, 4.86028501299365 52.61265805242773, 4.860973587251343 52.61251308286131, 4.861646427172397 52.61237478018318, 4.861693640921962 52.61236510295662, 4.861742933597045 52.61246579836711, 4.864313127350508 52.61698644774204, 4.865673768350399 52.616700249996434, 4.865779588314456 52.616886606316555, 4.865790868859207 52.616906607472544, 4.86636671394357 52.61791983689454, 4.8668332480423695 52.618751132448615, 4.867253633046272 52.619490374575825, 4.867584932400955 52.620071589615115, 4.867640929032292 52.62016916609733, 4.865450086114542 52.62063166994596, 4.864246087555399 52.62088332448016, 4.8630325808352275 52.62113860968509, 4.862184896433092 52.62131551234394, 4.861956612702707 52.62136339447315, 4.8608588600130815 52.6215936451755, 4.859737673990567 52.621831331065756, 4.858456146549337 52.62210199547781, 4.857526404854605 52.62229611496285, 4.856707235923952 52.62246816270952, 4.856736559929465 52.6225224865864, 4.856754784108363 52.62255429284197, 4.856707113167822 52.622564145824725, 4.8567528218653555 52.62264361719387, 4.856784788950582 52.62269921106222, 4.8567856587322495 52.622700563028104, 4.8570549391095845 52.62318590644563, 4.857379888419257 52.62375822407351, 4.85759129147118 52.62413294497119, 4.857784189987443 52.62447477965659, 4.858154154163805 52.62512485515953, 4.858485668430528 52.62571858822074, 4.858517913702679 52.62577598025042, 4.858554930006482 52.625841931350244, 4.85875823168448 52.62620421152702, 4.858962020726768 52.62656307833427, 4.859131818714056 52.62686247810221, 4.859333228182475 52.6272109084496, 4.8593721690420155 52.62728900055974, 4.8593889019131336 52.62732232756974, 4.859427397193131 52.62731440996479, 4.8594599624044195 52.62730835334102, 4.859466918718379 52.62730712600838, 4.859481685332077 52.627331996288035, 4.8595132420469564 52.6273854305836, 4.865657411508309 52.62610499201679, 4.865676217307188 52.62613823735912, 4.865695312111101 52.62617202319915, 4.865702111582088 52.62618400602886, 4.865710359135632 52.62619842175956, 4.865723087971924 52.62622103551693, 4.8670383122473595 52.6285420841556, 4.868083192435439 52.63037752586546, 4.868637137554704 52.63135074148223, 4.869332416559868 52.632566685180215, 4.870083619189623 52.63389161270398, 4.8700967871643694 52.63391494682317, 4.870100403497586 52.63392143373391))"
Oud - Overdie,Alkmaar,Buurt,2785,535,20,7,2300,"32,3","26,4","43,9","14,7","30,3","49,7","10,1","6,6","9,5","15,0","18,6",20.5,29,26,2,Oud - Overdie,6.879136043956777,3.820595656470716e-09,2.628239728981241e-10,18,"POLYGON ((4.757736751830203 52.62665773179779, 4.7563897117034974 52.62597503544258, 4.7561394558660846 52.62589293362653, 4.755955700933191 52.62584838834199, 4.755691758406126 52.62588585502903, 4.752973396905692 52.626525375534236, 4.752728834242816 52.626573473718445, 4.751713762705471 52.62498337498447, 4.755556131975839 52.624015124268325, 4.759048715127301 52.62283240614679, 4.7600595346593675 52.62217438149105, 4.758433020657564 52.620570129109105, 4.760184102925894 52.61997074931503, 4.760967565166972 52.620665446027544, 4.763565717121592 52.62232602831058, 4.764153782056703 52.62334580906851, 4.7647325366084825 52.623912799535546, 4.764720032185184 52.62411904970749, 4.758198020467889 52.626917095448846, 4.757736751830203 52.62665773179779))"
Oud Rochdale,Alkmaar,Buurt,810,205,5,7,700,"28,4","25,3","49,4","8,0","26,0","71,3","3,0","7,1","11,5","19,3","24,8",11.8,9,8,0,Oud Rochdale,1.3797752282010438,1.1459945434769878e-09,1.581214882743112e-11,2,"POLYGON ((4.746663289509678 52.62408526417672, 4.744194718042802 52.62542711545359, 4.743942092246252 52.625268731477775, 4.743571849730203 52.6248244889592, 4.742119297094062 52.624783856818404, 4.741718554147195 52.62458512901424, 4.741482221707579 52.6240277016506, 4.742733464921526 52.623561255802976, 4.744269609035765 52.622905231851774, 4.746007945077878 52.62191101681114, 4.746833128866386 52.62128693721006, 4.747761442217033 52.62236061589386, 4.746663289509678 52.62408526417672))"
Oudorp Centrum,Alkmaar,Buurt,1995,645,30,15,1600,"38,8","32,1","37,7","24,3","38,9","26,5","29,3","2,4","3,3","5,2","6,7",369.1,46,46,0,Oudorp Centrum,16.27028753041826,6.104518890525377e-09,9.932227758371774e-10,47,"POLYGON ((4.770379300328474 52.63293144136069, 4.769653312889385 52.630601002109415, 4.7693385451435715 52.629540845019044, 4.770501251373533 52.629285028616955, 4.769651510071436 52.62832287013764, 4.770899238701056 52.62795856565743, 4.771850349438253 52.627505141094936, 4.77285086566932 52.62691364998704, 4.773838808206729 52.62729894925661, 4.774398080737695 52.627625896797674, 4.77454039148458 52.6279936977344, 4.774681411612277 52.62807548964289, 4.775020756055895 52.627994042297516, 4.776541168229116 52.6290295388483, 4.777378937343004 52.630733323432885, 4.777958609977325 52.632539923348176, 4.778140018489093 52.63557006385293, 4.772199482829682 52.63691895798359, 4.771559957138254 52.63610382894075, 4.770379300328474 52.63293144136069))"
Oudorp Noord en Oost,Alkmaar,Buurt,2275,620,50,21,1900,"39,1","33,0","36,7","20,7","37,0","37,6","24,3","3,3","4,9","7,3","9,2",249.7,183,161,23,Oudorp Noord en Oost,46.2317550776221,2.4322544074487686e-08,1.1244739005163832e-08,200,"POLYGON ((4.777920488345771 52.64152569542173, 4.774328738306491 52.64211164355861, 4.773114231429442 52.642647614444776, 4.768931118204729 52.64595797859444, 4.761951238351604 52.64286810133831, 4.762987339184278 52.64199361142906, 4.763482172169333 52.641780379009816, 4.7638431257972496 52.64096471887194, 4.763315897436938 52.64105650875589, 4.762370944809865 52.64045215969772, 4.764819936759493 52.63959991660022, 4.763613845773475 52.638278302516575, 4.763654542432198 52.63796264052723, 4.763260246838854 52.63682193928697, 4.762691327053262 52.63612307717063, 4.763750408751409 52.63591753321908, 4.764028994175441 52.636052571454194, 4.764693772108655 52.6360449185882, 4.765596622042753 52.636450357423804, 4.766111058764938 52.636293503793674, 4.769579235050593 52.63664640821378, 4.770796779446092 52.636527120438174, 4.771559957138254 52.63610382894075, 4.772199482829682 52.63691895798359, 4.778140018489093 52.63557006385293, 4.777958609977325 52.632539923348176, 4.777378937343004 52.630733323432885, 4.776541168229116 52.6290295388483, 4.775020756055895 52.627994042297516, 4.774681411612277 52.62807548964289, 4.77454039148458 52.6279936977344, 4.774398080737695 52.627625896797674, 4.773838808206729 52.62729894925661, 4.77285086566932 52.62691364998704, 4.775421194084752 52.62445182502885, 4.7765540882329915 52.62380855209555, 4.778578673164488 52.623546736864014, 4.778761198610587 52.62378784743477, 4.778806383632149 52.62410480948401, 4.778815428178347 52.62416826016473, 4.779188787560632 52.624907949905214, 4.7791929736508205 52.624916243209874, 4.779220776981874 52.624971325563, 4.779959018813167 52.626009207711554, 4.780125365759728 52.62624306508678, 4.780151937891699 52.6262834727726, 4.780869036048466 52.627373944898764, 4.781268998926711 52.627982131780016, 4.781860942743683 52.62911057854012, 4.78177805408879 52.62912876910387, 4.7818639377928704 52.62929221755381, 4.781989306449409 52.62953081179093, 4.7820268082300155 52.629539387815335, 4.782400928639537 52.62962494511969, 4.7822742484757175 52.629963083829026, 4.782270953503244 52.629971875486156, 4.782258871273309 52.630004123241484, 4.7831846867723895 52.6311743810668, 4.783266653934557 52.63126201798215, 4.783285598712754 52.63128227265181, 4.783610584894774 52.63153758855378, 4.783856822079882 52.63173104902284, 4.7842653913041895 52.63206385299558, 4.784309199605077 52.63208960077546, 4.784449404979976 52.6321720040809, 4.784481085066944 52.632190624523, 4.784595343411342 52.632237802649726, 4.784746154664695 52.63238900472011, 4.784796294308188 52.63243926390261, 4.784881047590016 52.632502136792496, 4.785124513253272 52.632682715246034, 4.785994626631044 52.63329998831089, 4.786192546457933 52.63344039301906, 4.786232760265524 52.63346917846932, 4.786726962823102 52.63382293162686, 4.787064852596816 52.634055366578956, 4.787192605812169 52.634156235438724, 4.787855783007477 52.63463091959788, 4.788509563282264 52.63509886342299, 4.789619636022911 52.635893368531214, 4.7896743523965855 52.63588185853503, 4.790155241536308 52.63618195893307, 4.7905681714733355 52.6364971204949, 4.790680689674579 52.636608587693786, 4.7908301022458915 52.6367304673243, 4.790849721824958 52.63675324504862, 4.790938337337709 52.636856130612344, 4.791033352791854 52.63696970257699, 4.79124214441278 52.63726245732715, 4.7913450528803905 52.63748057228818, 4.791379099410442 52.63755272894404, 4.791476690741987 52.63780436291993, 4.791643156859434 52.638233579241934, 4.789310609119387 52.63880058907482, 4.788312262526604 52.6389132259579, 4.785278976164971 52.638114679942035, 4.785587216531954 52.63916284090495, 4.786690318821054 52.64060372486927, 4.777920488345771 52.64152569542173))"
Oudorperpolder - Midden,Alkmaar,Buurt,555,135,5,7,400,"35,4","28,6","34,6","18,2","36,1","19,8","20,7","0,9","1,3","1,3","1,8",257.1,11,11,0,Oudorperpolder - Midden,12.702088000069292,1.469190683888152e-09,1.8661789355629288e-10,5,"POLYGON ((4.763790689403225 52.63468725216507, 4.762382693154193 52.63297516382442, 4.769653312889385 52.630601002109415, 4.770379300328474 52.63293144136069, 4.768113651678606 52.633155383745006, 4.765168857976433 52.6340754989046, 4.763790689403225 52.63468725216507))"
Oudorperpolder - Noord,Alkmaar,Buurt,1085,270,15,12,900,"35,6","30,4","37,7","19,0","33,6","39,5","13,8","3,7","5,4","9,4","11,3",177.1,17,16,1,Oudorperpolder - Noord,8.317392712912701,2.211123076190428e-09,1.839077896125938e-10,16,"POLYGON ((4.770379300328474 52.63293144136069, 4.771559957138254 52.63610382894075, 4.770796779446092 52.636527120438174, 4.769579235050593 52.63664640821378, 4.766111058764938 52.636293503793674, 4.765596622042753 52.636450357423804, 4.764693772108655 52.6360449185882, 4.764028994175441 52.636052571454194, 4.763750408751409 52.63591753321908, 4.762691327053262 52.63612307717063, 4.762092592583679 52.635470510609515, 4.762546751326317 52.635224767891536, 4.763321497534161 52.63507213358958, 4.763790689403225 52.63468725216507, 4.765168857976433 52.6340754989046, 4.768113651678606 52.633155383745006, 4.770379300328474 52.63293144136069))"
Oudorperpolder - Zuid,Alkmaar,Buurt,2150,330,20,11,1800,"27,0","22,1","54,7","7,7","26,7","62,2","7,6","8,4","15,9","25,9","31,4",4.8,29,26,2,Oudorperpolder - Zuid,24.393062868119387,3.8039212960849254e-09,9.278929132077776e-10,30,"POLYGON ((4.770501251373533 52.629285028616955, 4.7693385451435715 52.629540845019044, 4.769653312889385 52.630601002109415, 4.762382693154193 52.63297516382442, 4.763790689403225 52.63468725216507, 4.763321497534161 52.63507213358958, 4.762546751326317 52.635224767891536, 4.762092592583679 52.635470510609515, 4.762691327053262 52.63612307717063, 4.759649428983056 52.63630662328683, 4.759619598348322 52.635727910139416, 4.759920719237397 52.63561789520308, 4.758845733988945 52.634406872496314, 4.759639425433836 52.633907597190046, 4.758951221865607 52.63343298432468, 4.76045731936443 52.632373433162606, 4.759480702456059 52.63217809202884, 4.758852044630545 52.63177038842585, 4.7583977345175175 52.630992833242104, 4.763508714981081 52.6299001466177, 4.769651510071436 52.62832287013764, 4.770501251373533 52.629285028616955))"
Overdie - Oost,Alkmaar,Buurt,3045,370,15,5,2300,"24,0","18,5","59,6","5,1","24,1","65,2","5,5","13,3","18,5","27,8","33,1",2.5,28,28,1,Overdie - Oost,16.33836278719087,3.778595339666092e-09,6.173606148545333e-10,26,"POLYGON ((4.752370714063614 52.618487487601115, 4.750440384512756 52.61889113627034, 4.746381444445527 52.614218580191896, 4.746258811020574 52.61359634615047, 4.747632136550883 52.613559849945176, 4.749445863488099 52.61374272783087, 4.75055277271698 52.61402177803599, 4.759570564535979 52.617295862547365, 4.759399012657476 52.61842777135453, 4.752370714063614 52.618487487601115))"
Overdie - West,Alkmaar,Buurt,1245,175,10,7,1100,"34,9","29,7","36,5","17,3","32,4","41,3","13,4","4,5","4,8","6,6","7,9",93.2,25,24,1,Overdie - West,15.167409363988252,3.2792478406474807e-09,4.973769440507486e-10,32,"POLYGON ((4.750440384512756 52.61889113627034, 4.748747836268026 52.619632021934706, 4.7477422416222055 52.62046251778858, 4.747384448524877 52.62011692649104, 4.746664763520845 52.619715748180916, 4.745116752767205 52.61879370941022, 4.743499106941562 52.61780518015173, 4.742709757764644 52.61702443377983, 4.742121940309424 52.616481888538836, 4.741511191080387 52.61580745244157, 4.740362277998208 52.61536305512024, 4.739933211937115 52.614899669125826, 4.739993020312793 52.61444197330332, 4.740650080454327 52.61431562847401, 4.741391590188662 52.61432338955646, 4.741723415899261 52.61468341819415, 4.742312337041387 52.614858264055535, 4.742641626749913 52.614554067536446, 4.744712910001737 52.61384643034761, 4.746258811020574 52.61359634615047, 4.746381444445527 52.614218580191896, 4.750440384512756 52.61889113627034))"
